2005777716|NOVELTY - The system (1) includes a control IC (3) comprising of a control IC chip (3A) for controlling a unit battery cell (2), and a cell monitor IC chip (3B) for monitoring the voltage of the unit battery cell. A main controller (5) sends and receives signal to and from the control IC via insulation (6,7). The cell monitor IC chip and control IC chip are paired to control the unit battery cell.    USE - For managing secondary battery e.g. lithium battery used in vehicle or for power supply. For monitoring serially connected battery cells as a unit, managing the condition of a battery to detect abnormality of IC chip circuit or battery cell, and taking appropriate measures to correct the detected abnormality.    ADVANTAGE - The energy-saving and power-saving multi-series battery control system has low cost, high reliability, improved operability, high-speed communication property, and simple construction.    DETAILED DESCRIPTION - The unit battery cell consists of multiple battery cells (2A-2D). The control IC chip sends the voltage of each battery cell to the main controller, receives a command from the main controller, and adjusts the voltage of each battery cell.    DESCRIPTION OF DRAWING(S) - The figure shows the schematic block diagram of the multi-series battery control system.    Multi-series battery control system (1)    Unit battery cell (2)    Battery cells (2A-2D)    Control IC (3)    Control IC chip (3A)    Cell monitor IC chip (3B)    Main controller (5)    Insulation (6,7)
2009R10745|NOVELTY - The hub motor has a stator (104A,104B) attached to a shaft (110). Coils (114A,114B) are embedded in the stator in a circular pattern. Two rotors (102) are coupled to the shaft with the stator between them. Permanent magnets (106) are embedded in each rotor. A sequence control connects each coil so that current flows in a coil in one direction. The sequence control disconnects the coil and reconnects the coil with current flowing in the opposite direction in response to a set of permanent magnets aligning with a coil.    USE - Hub motor for e.g. electric vehicle.    ADVANTAGE - Increases rotational torque produced using the same input power by directing more produced power in the direction of rotation, thus providing greater speeds, greater force, and longer running times while using the same or lower input energy as less efficient traditional motors. Reduces cost since each coil can be machine wound instead of wound by a semi-skilled laborer. Hub motor can be customized based on speed and power requirements, and is very flexible and can be used in various applications. Hub motor offers an increase in efficiency at a lighter weight and lower heat output that opens the door to uses previously unavailable.    DETAILED DESCRIPTION - Each permanent magnet and each core (116) has a similar cross-sectional shape. The permanent magnets are positioned in a circular pattern corresponding to the coils so that, when a coil aligns with a permanent magnet, a next coil aligns between two magnets. Shorting bars connect exterior edges of the permanent magnets.    DESCRIPTION OF DRAWING(S) - The drawing is an end view illustrating a hub motor.    Rotors (102)    Stator (104A,104B)    Permanent magnets (106)    Shaft (110)    Coils (114A,114B)    Core (116)
2004029158|NOVELTY - The battery includes an electric power generation component (1) which is wound by insulating layer (1f) having width narrower than width of separator (1c), such that the winding axis of component is made into a horizontal direction.    USE - Rechargeable lithium ion battery for electric vehicle.    ADVANTAGE - The heat generated in the electric power generation component is easily discharged through the insulating layer. Hence the durability of the battery is improved.    DESCRIPTION OF DRAWING(S) - The figure shows a schematic view of the electric power generation component in battery.    electric power generation component (1)    separator (1c)    aluminum foil (1d)    copper foil (1e)    insulating materials( (1f)
1994279535|A vehicle with vehicle control unit (VCU 14) inter-alia sends torque request signals to an inverter (DC-AC) to drive an electric motor (16) with appropriate torque and in the desired direction.    The controller includes roll-back detection and compensation characteristics with sensor (23a) and gear selector (PRND) (28).    If a speed and direction sensor associated with the motor indicates movement in a direction opposite to that selected by the driver, the motor is driven to a torque output which is a non-constant function of the roll-back speed.    USE/ADVANTAGE -   The drive train closely mimics operation of a petrol vehicle automatic transmission by preventing roll-back when starting upward on a hill.
2008D99443|NOVELTY - A nonaqueous electrolyte battery comprises a positive electrode (1); a negative electrode (2) containing an active material having a lithium ion insertion potential of greater than or equal to0.4V (vs Li/Li+), a conductive agent containing a carbonaceous material, and a current collector supporting the active material and the conductive agent; and a nonaqueous electrolyte containing first sultones having an unsaturated hydrocarbon group.    USE - In battery pack (claimed).    ADVANTAGE - The nonaqueous electrolyte battery is reduced in the generation of gas, has a long cycle life and is excellent in large-current performance. The battery is excellent in large current performance and cycle performance.    DETAILED DESCRIPTION - A nonaqueous electrolyte battery comprises a positive electrode (1); a negative electrode (2) containing an active material having a lithium ion insertion potential of greater than or equal to0.4V (vs Li/Li+), a conductive agent containing a carbonaceous material, and a current collector supporting the active material and the conductive agent; and a nonaqueous electrolyte containing first sultones having an unsaturated hydrocarbon group, where a diameter distribution of pores of the negative electrode when measured by mercury porosimetry has a first peak having a mode diameter of 0.01-0.2 microns and second peak having a mode diameter of 0.003-0.02 microns, and a volume of pores having a diameter of 0.01-0.2 microns and a volume of pores having a diameter of 0.003-0.02 microns, which are measured by the mercury porosimetry, are 0.05-0.5 ml and 0.0001-0.02 ml, respectively, per g of the negative electrode excluding the current collector. INDEPENDENT CLAIMS are included for the following:    (1) a battery pack comprising the nonaqueous electrolyte battery; and    (2) a vehicle comprising the battery pack.    DESCRIPTION OF DRAWING(S) - The figure shows a sectional view of a flat type nonaqueous electrolyte battery.    Positive electrode terminal (1)    Negative electrode terminal (2)    Wound electrode group (6)    Case. (7)
2007605924|NOVELTY - A boost converter (21) converts a voltage supplied by a direct current (DC) power supply (20) into a system voltage appearing on a power supply line (22). The motor driving units (29,30) include inverters (27,28) connected to the power supply line for driving alternating current (AC) motors (13,14). The system voltage stabilization control units execute system voltage stabilization control to suppress variations in the system voltage by adjusting an input power of the AC motor different from an input power required for the AC motor to generate torque.    USE - For electric vehicle e.g. engine/motor hybrid vehicle.    ADVANTAGE - The apparatus can stabilize the voltage appearing on the power supply line in small size and low cost. The variations in the system voltage can be suppressed without affecting adversely to operating conditions of the vehicle. The accuracy of computation of the input power operation quality can be enhanced.    DETAILED DESCRIPTION - An INDEPENDENT CLAIM is also included for control method of the electric vehicle.    DESCRIPTION OF DRAWING(S) - The figure shows a block diagram of the driving system for electric vehicle.    Motor driving units (13,14)    DC power supply (20)    Boost converter (21)    Power supply line (22)    Inverter (27,28)    Driving units (29,30)
2001598761|NOVELTY - Cylindrical battery case (24) houses an internal electrode (1), electrode caps having battery caps (15A) and internal and external terminals that seal the open ends of the battery case. The electrode cap has a pressure release hole (20) in a position corresponding to central axis of a winding core (13) of internal electrode.    USE - Used for motor drive battery for electric and hybrid vehicles and motor vehicle.    ADVANTAGE - The pressure release hole releases internal pressure of the battery most swiftly and prevents bursting of battery.    DETAILED DESCRIPTION - An INDEPENDENT CLAIM is also included for lithium secondary battery manufacture.    DESCRIPTION OF DRAWING(S) - The drawing shows a sectional view of lithium secondary battery.    internal electrode (1)    winding core (13)    battery cap (15A)    pressure release hole (20)    cylindrical battery case (24)
1995382507|The motor controller comprises a device for receiving a mode command, and a device for transitioning the current operating mode of the motor controller in accordance with the mode command. A device receives an operating command while the motor controller is in the current operating mode.    A device determines whether the operating command is an appropriate command for processing during the current operating mode. A device processes the operating command when the determining device determines that the operating command is an appropriate command. The current operating mode comprises a mode including a neutral mode, a drive mode, a charge mode and a BIT mode.    ADVANTAGE -   Has higher performance.
2010C31364|NOVELTY - The unit (1) has a main clamp body (10) comprising a base plate (12) positioned on a side of a front surface of a mounting wall (3). The plate has a circular installation hole (14) for permitting a temperature sensor to penetrate towards a side of a rear surface of the wall. Elastic engagement parts extend from the base plate so as to be engaged with a circumferential edge of mounting holes (4a, 5a) on the side of the rear surface of the wall. An elastic sealing element (30) i.e. washer, is arranged between the clamp body and the wall, where the washer is made of elastic material.    USE - Mounting unit for mounting a temperature sensor in a mounting hole formed on a thin mounting wall of a target mounting element e.g. battery, of an electric vehicle to measure internal temperature of the battery, and on a circumferential wall of an exhaust pipe and a cooling agent supply pipe to measure temperature of an exhaust gas released from an internal combustion engine of a hybrid vehicle and a cooling agent delivered to the internal combustion engine.    ADVANTAGE - The main clamp body facilitates mounting of the temperature sensor in the mounting hole formed on a thin mounting wall of target mounting element in an easy manner. The elastic sealing element is deformed based on thickness of the mounting wall so as to constantly maintain exceedance value of the temperature sensor from a rear side of the mounting hole, thus suppressing interference of the sensor with internal components of the target mounting element.    DESCRIPTION OF DRAWING(S) - The drawing shows a perspective view of a temperature sensor mounting unit.    Temperature sensor mounting unit (1)    Mounting wall (3)    Mounting holes (4a, 5a)    Main clamp body (10)    Base plate (12)    Circular installation hole (14)    Elastic sealing element (30)
2007727469|NOVELTY - The mounting structure has a side support (50) that supports the battery pack (1) through the mounting plates (56,55) and a base plate. A rear bracket (27) that fixes the battery pack with side support, is rotatably connected to pack and the side support at its respective sides.    USE - For mounting battery pack comprising capacitor and secondary battery such as nickel-cadmium battery, nickel-hydrogen battery and lithium ion battery used in vehicle e.g. electric vehicle, motor vehicle, hybrid vehicle, etc.    ADVANTAGE - Damage causing to the battery pack due to impact acting on the battery pack during vehicle collision is reduced by using simple structure.    DESCRIPTION OF DRAWING(S) - The figure shows a sectional view explaining the battery pack mounting structure.    Battery pack (1)    Rear bracket (27)    Side support (50)    Mounting plates (55,56)    Vehicle housing (61)    Screw (75)
